剧名,url,更新集数,付费集数,id,总弹幕,播放量,追剧人数,抓取错误,id2,总弹幕2,追剧人数2,播放量2,ID周增,总弹幕周增,追剧周增,播放周增,追剧周增率,播放周增率,比例差,本周ID活跃比
,nan,,,,,,,无法识别 drama_id,,,,,,,,,,,,
囚于永夜,86822.0,织音发布会纯享PV · 概念预告,0.0,0.0,0.0,5475528.0,324734.0,,0.0,0.0,324734.0,5475528.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
旧故新长,86778.0,织音发布会PV,0.0,0.0,0.0,1430661.0,115052.0,,0.0,0.0,115052.0,1430661.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
恒星时刻 第一季,94789.0,第四集♬Lion Heart,1.0,106.0,228.0,1741156.0,69525.0,,106.0,228.0,69525.0,1741156.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0015246314275440488
唇枪 上季,94802.0,织音发布会纯享PV,0.0,0.0,0.0,538384.0,24819.0,,0.0,0.0,24819.0,538384.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
传闻,95625.0,✧IF特别放送 · 中秋篇,0.0,0.0,0.0,185986.0,9571.0,,0.0,0.0,9571.0,185986.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
金嘉轩去了哪里 第一季,94831.0,先导剧场：一个人的七夕,0.0,0.0,0.0,48442.0,6993.0,,0.0,0.0,6993.0,48442.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
二哈在狼群里疯狂造谣 第一季,94772.0,第2集·无中生崽,0.0,0.0,0.0,322254.0,11319.0,,0.0,0.0,11319.0,322254.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
凶祟 第二季,94840.0,预告·长夜将至,0.0,0.0,0.0,57215.0,6601.0,,0.0,0.0,6601.0,57215.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
高门深户,94861.0,织音发布会纯享PV,0.0,0.0,0.0,54309.0,4893.0,,0.0,0.0,4893.0,54309.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
六重奏 第一季,94859.0,声展·张茜,0.0,0.0,0.0,190719.0,4717.0,,0.0,0.0,4717.0,190719.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
沙子，时间，雨树,94825.0,˚₊⊹花絮1⊹₊˚,0.0,0.0,0.0,190713.0,9115.0,,0.0,0.0,9115.0,190713.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
纯白恶魔 第一季,94773.0,织音发布会·纯享KV,0.0,0.0,0.0,162432.0,4366.0,,0.0,0.0,4366.0,162432.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
祝祷月亮,94827.0,织音发布会 PV,0.0,0.0,0.0,16374.0,3269.0,,0.0,0.0,3269.0,16374.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
全职高手4上,96092.0,中秋福利,1.0,105.0,988.0,132965.0,8481.0,,105.0,988.0,8481.0,132965.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012380615493455961
此湖之东,94819.0,先导花絮·角色讨论,0.0,0.0,0.0,8581.0,2214.0,,0.0,0.0,2214.0,8581.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
耳机专属小剧场,95972.0,入戏丨耳机专属番外后来06,0.0,0.0,0.0,13223.0,752.0,,0.0,0.0,752.0,13223.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
什刹海是海吗,94863.0,,,,,,,没有找到 sound_id,,,,,,,,,,,,
屏香记,94783.0,,,,,,,没有找到 sound_id,,,,,,,,,,,,
热的汤，软的面包,86816.0,1,0.0,0.0,0.0,,,getdramabysound 返回 success=False,0.0,0.0,,,0.0,0.0,,,,,,
,nan,,,,,,,无法识别 drama_id,,,,,,,,,,,,
r361,85562.0,番外9 跨年夜,255.0,6330.0,297041.0,29623025.0,65111.0,,6330.0,297041.0,65111.0,29623025.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.09721859593617053
理想型,93439.0,鱼羊美谈·第六话,53.0,1326.0,39759.0,1843995.0,18956.0,,1326.0,39759.0,18956.0,1843995.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06995146655412535
赤霞珠,95114.0,处暑福利音·饮酒小贴士·唐渡,19.0,995.0,12760.0,417696.0,14671.0,,995.0,12760.0,14671.0,417696.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06782087110626406
日出风来,94444.0,♡福利音-房车雨夜♡,50.0,360.0,10916.0,429793.0,7630.0,,360.0,10916.0,7630.0,429793.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.047182175622542594
,nan,,,,,,,无法识别 drama_id,,,,,,,,,,,,
